unicode,description,annotation
😀,GRINNING FACE,"face,grin,person"
😁,GRINNING FACE WITH SMILING EYES,"eye,face,grin,person,smile"
😂,FACE WITH TEARS OF JOY,"face,joy,laugh,person,tear"
😃,SMILING FACE WITH OPEN MOUTH,"face,mouth,open,person,smile"
😄,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,"eye,face,mouth,open,person,smile"
😅,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,"cold,face,open,person,smile,sweat"
😆,SMILING FACE WITH OPEN MOUTH AND TIGHTLYCLOSED EYES,"face,laugh,mouth,open,person,satisfied,smile"
😉,WINKING FACE,"face,person,wink"
😊,SMILING FACE WITH SMILING EYES,"blush,eye,face,person,smile"
😋,FACE SAVOURING DELICIOUS FOOD,"delicious,face,food,person,savouring,smile,um,yum"
😎,SMILING FACE WITH SUNGLASSES,"bright,cool,eye,eyewear,face,glasses,person,smile,sun,sunglasses,weather"
😍,SMILING FACE WITH HEARTSHAPED EYES,"eye,face,heart,love,person,smile"
😘,FACE THROWING A KISS,"face,heart,kiss,person"
😗,KISSING FACE,"face,kiss,person"
😙,KISSING FACE WITH SMILING EYES,"eye,face,kiss,person,smile"
😚,KISSING FACE WITH CLOSED EYES,"closed,eye,face,kiss,person"
☺️,WHITE SMILING FACE smiling face,"face,outlined,person,relaxed,smile"
🙂,SLIGHTLY SMILING FACE,"face,person,smile"
🤗,HUGGING FACE,"face,hug,hugging,person"
😇,SMILING FACE WITH HALO,"angel,face,fairy tale,fantasy,halo,innocent,person,smile"
🤓,NERD FACE,"face,geek,nerd,person"
🤔,THINKING FACE,"face,person,thinking"
😐,NEUTRAL FACE,"deadpan,face,neutral,person"
😑,EXPRESSIONLESS FACE,"expressionless,face,inexpressive,person,unexpressive"
😶,FACE WITHOUT MOUTH,"face,mouth,person,quiet,silent"
🙄,FACE WITH ROLLING EYES,"eyes,face,person,rolling"
😏,SMIRKING FACE,"face,person,smirk"
😣,PERSEVERING FACE,"face,persevere,person"
😥,DISAPPOINTED BUT RELIEVED FACE,"disappointed,face,person,relieved,whew"
😮,FACE WITH OPEN MOUTH,"face,mouth,open,person,sympathy"
🤐,ZIPPERMOUTH FACE,"face,mouth,person,zipper"
😯,HUSHED FACE,"face,hushed,person,stunned,surprised"
😪,SLEEPY FACE,"face,person,sleep"
😫,TIRED FACE,"face,person,tired"
😴,SLEEPING FACE,"face,person,sleep,zzz"
😌,RELIEVED FACE,"face,person,relieved"
😛,FACE WITH STUCKOUT TONGUE,"face,person,tongue"
😜,FACE WITH STUCKOUT TONGUE AND WINKING EYE,"eye,face,joke,person,tongue,wink"
😝,FACE WITH STUCKOUT TONGUE AND TIGHTLYCLOSED EYES,"eye,face,horrible,person,taste,tongue"
😒,UNAMUSED FACE,"face,person,unamused,unhappy"
😓,FACE WITH COLD SWEAT,"cold,face,person,sweat"
😔,PENSIVE FACE,"dejected,face,pensive,person"
😕,CONFUSED FACE,"confused,face,person"
🙃,UPSIDEDOWN FACE,"face,person,upsidedown"
🤑,MONEYMOUTH FACE,"face,money,mouth,person"
😲,ASTONISHED FACE,"astonished,face,person,shocked,totally"
😷,FACE WITH MEDICAL MASK,"cold,doctor,face,mask,medicine,person,sick"
🤒,FACE WITH THERMOMETER,"face,ill,person,sick,thermometer"
🤕,FACE WITH HEADBANDAGE,"bandage,face,hurt,injury,person"
☹️,WHITE FROWNING FACE frowning face,"face,frown,person"
🙁,SLIGHTLY FROWNING FACE,"face,frown,person"
😖,CONFOUNDED FACE,"confounded,face,person"
😞,DISAPPOINTED FACE,"disappointed,face,person"
😟,WORRIED FACE,"face,person,worried"
😤,FACE WITH LOOK OF TRIUMPH face with steam from nose,"face,person,triumph,won"
😢,CRYING FACE,"cry,face,person,sad,tear"
😭,LOUDLY CRYING FACE,"cry,face,person,sad,sob,tear"
😦,FROWNING FACE WITH OPEN MOUTH,"face,frown,mouth,open,person"
😧,ANGUISHED FACE,"anguished,face,person"
😨,FEARFUL FACE,"face,fear,fearful,person,scared"
😩,WEARY FACE,"face,person,tired,weary"
😬,GRIMACING FACE,"face,grimace,person"
😰,FACE WITH OPEN MOUTH AND COLD SWEAT,"blue,cold,face,mouth,open,person,rushed,sweat"
😱,FACE SCREAMING IN FEAR,"face,fear,fearful,munch,person,scared,scream"
😳,FLUSHED FACE,"dazed,face,flushed,person"
😵,DIZZY FACE,"dizzy,face,person"
😡,POUTING FACE,"angry,face,mad,person,pouting,rage,red"
😠,ANGRY FACE,"angry,face,mad,person"
😈,SMILING FACE WITH HORNS,"face,fairy tale,fantasy,horns,person,smile"
👿,IMP,"demon,devil,face,fairy tale,fantasy,imp,person"
👹,JAPANESE OGRE ogre,"creature,face,fairy tale,fantasy,japanese,monster,ogre,person"
👺,JAPANESE GOBLIN goblin,"creature,face,fairy tale,fantasy,goblin,japanese,monster,person"
💀,SKULL,"body,death,face,fairy tale,monster,person,skull"
☠️,SKULL AND CROSSBONES,"body,crossbones,death,face,monster,person,skull"
👻,GHOST,"creature,face,fairy tale,fantasy,ghost,monster,person"
👽,EXTRATERRESTRIAL ALIEN alien,"alien,creature,extraterrestrial,face,fairy tale,fantasy,monster,nature,person,space,ufo"
👾,ALIEN MONSTER,"alien,creature,extraterrestrial,face,fairy tale,fantasy,monster,nature,person,space,ufo"
🤖,ROBOT FACE,"face,monster,person,robot"
💩,PILE OF POO,"comic,dung,face,monster,nature,object,poo,poop"
😺,SMILING CAT FACE WITH OPEN MOUTH,"animal,cat,face,mouth,nature,open,smile"
😸,GRINNING CAT FACE WITH SMILING EYES,"animal,cat,eye,face,grin,nature,smile"
😹,CAT FACE WITH TEARS OF JOY,"animal,cat,face,joy,nature,tear"
😻,SMILING CAT FACE WITH HEARTSHAPED EYES,"animal,cat,eye,face,heart,love,nature,smile"
😼,CAT FACE WITH WRY SMILE,"animal,cat,face,ironic,nature,smile,wry"
😽,KISSING CAT FACE WITH CLOSED EYES,"animal,cat,eye,face,kiss,nature"
🙀,WEARY CAT FACE,"animal,cat,face,nature,oh,surprised,weary"
😿,CRYING CAT FACE,"animal,cat,cry,face,nature,sad,tear"
😾,POUTING CAT FACE,"animal,cat,face,nature,pouting"
🙈,SEENOEVIL MONKEY seenoevil,"animal,evil,face,forbidden,gesture,monkey,nature,no,not,prohibited,see"
🙉,HEARNOEVIL MONKEY hearnoevil,"animal,evil,face,forbidden,gesture,hear,monkey,nature,no,not,prohibited"
🙊,SPEAKNOEVIL MONKEY speaknoevil,"animal,evil,face,forbidden,gesture,monkey,nature,no,not,prohibited,speak"
👦,BOY,"boy,person"
👦🏻,"BOY,TYPE12","boy,person"
👦🏼,"BOY,TYPE3","boy,person"
👦🏽,"BOY,TYPE4","boy,person"
👦🏾,"BOY,TYPE5","boy,person"
👦🏿,"BOY,TYPE6","boy,person"
👧,GIRL,"girl,maiden,person,virgin,virgo,zodiac"
👧🏻,"GIRL,TYPE12","girl,maiden,person,virgin,virgo,zodiac"
👧🏼,"GIRL,TYPE3","girl,maiden,person,virgin,virgo,zodiac"
👧🏽,"GIRL,TYPE4","girl,maiden,person,virgin,virgo,zodiac"
👧🏾,"GIRL,TYPE5","girl,maiden,person,virgin,virgo,zodiac"
👧🏿,"GIRL,TYPE6","girl,maiden,person,virgin,virgo,zodiac"
👨,MAN,"man,person"
👨🏻,"MAN,TYPE12","man,person"
👨🏼,"MAN,TYPE3","man,person"
👨🏽,"MAN,TYPE4","man,person"
👨🏾,"MAN,TYPE5","man,person"
👨🏿,"MAN,TYPE6","man,person"
👩,WOMAN,"person,woman"
👩🏻,"WOMAN,TYPE12","person,woman"
👩🏼,"WOMAN,TYPE3","person,woman"
👩🏽,"WOMAN,TYPE4","person,woman"
👩🏾,"WOMAN,TYPE5","person,woman"
👩🏿,"WOMAN,TYPE6","person,woman"
👴,OLDER MAN old man,"man,old,person"
👴🏻,"OLDER MAN,TYPE12","man,old,person"
👴🏼,"OLDER MAN,TYPE3","man,old,person"
👴🏽,"OLDER MAN,TYPE4","man,old,person"
👴🏾,"OLDER MAN,TYPE5","man,old,person"
👴🏿,"OLDER MAN,TYPE6","man,old,person"
👵,OLDER WOMAN old woman,"old,person,woman"
👵🏻,"OLDER WOMAN,TYPE12","old,person,woman"
👵🏼,"OLDER WOMAN,TYPE3","old,person,woman"
👵🏽,"OLDER WOMAN,TYPE4","old,person,woman"
👵🏾,"OLDER WOMAN,TYPE5","old,person,woman"
👵🏿,"OLDER WOMAN,TYPE6","old,person,woman"
👶,BABY,"baby,person"
👶🏻,"BABY,TYPE12","baby,person"
👶🏼,"BABY,TYPE3","baby,person"
👶🏽,"BABY,TYPE4","baby,person"
👶🏾,"BABY,TYPE5","baby,person"
👶🏿,"BABY,TYPE6","baby,person"
👱,PERSON WITH BLOND HAIR,"blond,person"
👱🏻,"PERSON WITH BLOND HAIR,TYPE12","blond,person"
👱🏼,"PERSON WITH BLOND HAIR,TYPE3","blond,person"
👱🏽,"PERSON WITH BLOND HAIR,TYPE4","blond,person"
👱🏾,"PERSON WITH BLOND HAIR,TYPE5","blond,person"
👱🏿,"PERSON WITH BLOND HAIR,TYPE6","blond,person"
👮,POLICE OFFICER,"cop,officer,person,police"
👮🏻,"POLICE OFFICER,TYPE12","cop,officer,person,police"
👮🏼,"POLICE OFFICER,TYPE3","cop,officer,person,police"
👮🏽,"POLICE OFFICER,TYPE4","cop,officer,person,police"
👮🏾,"POLICE OFFICER,TYPE5","cop,officer,person,police"
👮🏿,"POLICE OFFICER,TYPE6","cop,officer,person,police"
👲,MAN WITH GUA PI MAO man with chinese cap,"gua pi mao,hat,man,person"
👲🏻,"MAN WITH GUA PI MAO,TYPE12","gua pi mao,hat,man,person"
👲🏼,"MAN WITH GUA PI MAO,TYPE3","gua pi mao,hat,man,person"
👲🏽,"MAN WITH GUA PI MAO,TYPE4","gua pi mao,hat,man,person"
👲🏾,"MAN WITH GUA PI MAO,TYPE5","gua pi mao,hat,man,person"
👲🏿,"MAN WITH GUA PI MAO,TYPE6","gua pi mao,hat,man,person"
👳,MAN WITH TURBAN,"man,person,turban"
👳🏻,"MAN WITH TURBAN,TYPE12","man,person,turban"
👳🏼,"MAN WITH TURBAN,TYPE3","man,person,turban"
👳🏽,"MAN WITH TURBAN,TYPE4","man,person,turban"
👳🏾,"MAN WITH TURBAN,TYPE5","man,person,turban"
👳🏿,"MAN WITH TURBAN,TYPE6","man,person,turban"
👷,CONSTRUCTION WORKER,"construction,hat,person,worker"
👷🏻,"CONSTRUCTION WORKER,TYPE12","construction,hat,person,worker"
👷🏼,"CONSTRUCTION WORKER,TYPE3","construction,hat,person,worker"
👷🏽,"CONSTRUCTION WORKER,TYPE4","construction,hat,person,worker"
👷🏾,"CONSTRUCTION WORKER,TYPE5","construction,hat,person,worker"
👷🏿,"CONSTRUCTION WORKER,TYPE6","construction,hat,person,worker"
⛑️,HELMET WITH WHITE CROSS,"aid,c,face,hat,helmet,person"
👸,PRINCESS,"fairy tale,fantasy,person,princess"
👸🏻,"PRINCESS,TYPE12","fairy tale,fantasy,person,princess"
👸🏼,"PRINCESS,TYPE3","fairy tale,fantasy,person,princess"
👸🏽,"PRINCESS,TYPE4","fairy tale,fantasy,person,princess"
👸🏾,"PRINCESS,TYPE5","fairy tale,fantasy,person,princess"
👸🏿,"PRINCESS,TYPE6","fairy tale,fantasy,person,princess"
💂,GUARDSMAN,"guard,guardsman,person"
💂🏻,"GUARDSMAN,TYPE12","guard,guardsman,person"
💂🏼,"GUARDSMAN,TYPE3","guard,guardsman,person"
💂🏽,"GUARDSMAN,TYPE4","guard,guardsman,person"
💂🏾,"GUARDSMAN,TYPE5","guard,guardsman,person"
💂🏿,"GUARDSMAN,TYPE6","guard,guardsman,person"
🕵️,SLEUTH OR SPY detective,"detective,person,sleuth,spy"
🕵️🏻,"SLEUTH OR SPY,TYPE12","detective,person,sleuth,spy"
🕵️🏼,"SLEUTH OR SPY,TYPE3","detective,person,sleuth,spy"
🕵️🏽,"SLEUTH OR SPY,TYPE4","detective,person,sleuth,spy"
🕵️🏾,"SLEUTH OR SPY,TYPE5","detective,person,sleuth,spy"
🕵️🏿,"SLEUTH OR SPY,TYPE6","detective,person,sleuth,spy"
🎅,FATHER CHRISTMAS santa claus,"activity,celebration,christmas,fairy tale,fantasy,father,person,santa"
🎅🏻,"FATHER CHRISTMAS,TYPE12","activity,celebration,christmas,fairy tale,fantasy,father,person,santa"
🎅🏼,"FATHER CHRISTMAS,TYPE3","activity,celebration,christmas,fairy tale,fantasy,father,person,santa"
🎅🏽,"FATHER CHRISTMAS,TYPE4","activity,celebration,christmas,fairy tale,fantasy,father,person,santa"
🎅🏾,"FATHER CHRISTMAS,TYPE5","activity,celebration,christmas,fairy tale,fantasy,father,person,santa"
🎅🏿,"FATHER CHRISTMAS,TYPE6","activity,celebration,christmas,fairy tale,fantasy,father,person,santa"
👰,BRIDE WITH VEIL,"bride,person,veil,wedding"
👰🏻,"BRIDE WITH VEIL,TYPE12","bride,person,veil,wedding"
👰🏼,"BRIDE WITH VEIL,TYPE3","bride,person,veil,wedding"
👰🏽,"BRIDE WITH VEIL,TYPE4","bride,person,veil,wedding"
👰🏾,"BRIDE WITH VEIL,TYPE5","bride,person,veil,wedding"
👰🏿,"BRIDE WITH VEIL,TYPE6","bride,person,veil,wedding"
👼,BABY ANGEL,"angel,baby,face,fairy tale,fantasy,person"
👼🏻,"BABY ANGEL,TYPE12","angel,baby,face,fairy tale,fantasy,person"
👼🏼,"BABY ANGEL,TYPE3","angel,baby,face,fairy tale,fantasy,person"
👼🏽,"BABY ANGEL,TYPE4","angel,baby,face,fairy tale,fantasy,person"
👼🏾,"BABY ANGEL,TYPE5","angel,baby,face,fairy tale,fantasy,person"
👼🏿,"BABY ANGEL,TYPE6","angel,baby,face,fairy tale,fantasy,person"
💆,FACE MASSAGE,"massage,person,salon"
💆🏻,"FACE MASSAGE,TYPE12","massage,person,salon"
💆🏼,"FACE MASSAGE,TYPE3","massage,person,salon"
💆🏽,"FACE MASSAGE,TYPE4","massage,person,salon"
💆🏾,"FACE MASSAGE,TYPE5","massage,person,salon"
💆🏿,"FACE MASSAGE,TYPE6","massage,person,salon"
💇,HAIRCUT,"barber,beauty,haircut,parlor,person"
💇🏻,"HAIRCUT,TYPE12","barber,beauty,haircut,parlor,person"
💇🏼,"HAIRCUT,TYPE3","barber,beauty,haircut,parlor,person"
💇🏽,"HAIRCUT,TYPE4","barber,beauty,haircut,parlor,person"
💇🏾,"HAIRCUT,TYPE5","barber,beauty,haircut,parlor,person"
💇🏿,"HAIRCUT,TYPE6","barber,beauty,haircut,parlor,person"
🙍,PERSON FROWNING,"frown,gesture,person"
🙍🏻,"PERSON FROWNING,TYPE12","frown,gesture,person"
🙍🏼,"PERSON FROWNING,TYPE3","frown,gesture,person"
🙍🏽,"PERSON FROWNING,TYPE4","frown,gesture,person"
🙍🏾,"PERSON FROWNING,TYPE5","frown,gesture,person"
🙍🏿,"PERSON FROWNING,TYPE6","frown,gesture,person"
🙎,PERSON WITH POUTING FACE person pouting,"gesture,person,pouting"
🙎🏻,"PERSON WITH POUTING FACE,TYPE12","gesture,person,pouting"
🙎🏼,"PERSON WITH POUTING FACE,TYPE3","gesture,person,pouting"
🙎🏽,"PERSON WITH POUTING FACE,TYPE4","gesture,person,pouting"
🙎🏾,"PERSON WITH POUTING FACE,TYPE5","gesture,person,pouting"
🙎🏿,"PERSON WITH POUTING FACE,TYPE6","gesture,person,pouting"
🙅,FACE WITH NO GOOD GESTURE gesturing no,"forbidden,gesture,hand,no,not,person,prohibited"
🙅🏻,"FACE WITH NO GOOD GESTURE,TYPE12","forbidden,gesture,hand,no,not,person,prohibited"
